numinstallation;nominstallation;adresse;codepostal;commune;typequipement;latitude;longitude
I181720005;TERRAINS DE PETANQUE;Route de la Groutte;18200;Orval;Terrain de pétanque;46.720394048052185;2.4854133815097157
I181720005;TERRAINS DE PETANQUE;Route de la Groutte;18200;Orval;Terrain de pétanque;46.43254;2.29098
I181720005;TERRAINS DE PETANQUE;Route de la Groutte;18200;Orval;Terrain de pétanque;46.43217;2.29133
I181720005;TERRAINS DE PETANQUE;Route de la Groutte;18200;Orval;Terrain de pétanque;46.43217;2.29133
I181720005;TERRAINS DE PETANQUE;Route de la Groutte;18200;Orval;Terrain de pétanque;46.43217;2.29133
I181720005;TERRAINS DE PETANQUE;Route de la Groutte;18200;Orval;Terrain de pétanque;46.43217;2.29133
I181970002;GYMNASE DE L'ETOILE PIERRE NORMANDON;Avenue Georges Pompidou;18200;Saint-Amand-Montrond;Salle de gymnastique sportive;46.71601;2.51615
I181970003;COMPLEXE DE TENNIS JEAN DE CONTI;Rue des Flipottes;18200;Saint-Amand-Montrond;Court de tennis;46.71572;2.51488
I181970003;COMPLEXE DE TENNIS JEAN DE CONTI;Rue des Flipottes;18200;Saint-Amand-Montrond;Mur de tennis;46.71616;2.51447
I181970003;COMPLEXE DE TENNIS JEAN DE CONTI;Rue des Flipottes;18200;Saint-Amand-Montrond;Court de tennis;46.71633;2.51487
I181970003;COMPLEXE DE TENNIS JEAN DE CONTI;Rue des Flipottes;18200;Saint-Amand-Montrond;Terrain de pétanque;46.715993186803644;2.5153763384150807
I181970003;COMPLEXE DE TENNIS JEAN DE CONTI;Rue des Flipottes;18200;Saint-Amand-Montrond;Court de tennis;46.71633;2.51487
I181970003;COMPLEXE DE TENNIS JEAN DE CONTI;Rue des Flipottes;18200;Saint-Amand-Montrond;Court de tennis;46.71633;2.51487
I181970003;COMPLEXE DE TENNIS JEAN DE CONTI;Rue des Flipottes;18200;Saint-Amand-Montrond;Court de tennis;46.71633;2.51487
I181970005;AIRE DE LOISIR;Rue Georges Pompidou;18200;Saint-Amand-Montrond;Skatepark;46.716596;2.516984
I181970006;CENTRE BALNEO LUDIQUE;Rue des Ciseleurs;18200;Saint-Amand-Montrond;Bassin sportif de natation;46.72572;2.53165
I181970006;CENTRE BALNEO LUDIQUE;Rue des Ciseleurs;18200;Saint-Amand-Montrond;Bassin ludique de natation;46.72572;2.53165
I181970006;CENTRE BALNEO LUDIQUE;Rue des Ciseleurs;18200;Saint-Amand-Montrond;Salle de musculation/cardiotraining;46.72572;2.53165
I181970007;CHEMINS DE RANDONNEE;Place de la mairie;18200;Saint-Amand-Montrond;Boucle de randonnée;46.72681;2.50035
I181970008;PETANQUE;Allée du Vernet;18200;Saint-Amand-Montrond;Terrain de pétanque;46.734597;2.505261
I181970008;PETANQUE;Allée du Vernet;18200;Saint-Amand-Montrond;Terrain de pétanque;46.734597;2.505261
I181970010;SALLE MONTAGNAC;Quai lutin;18200;Saint-Amand-Montrond;Dojo / Salle d'arts martiaux;46.717788;2.501442
I181970015;BOULODROME;12 avenue de la république;18200;Saint-Amand-Montrond;Terrain de pétanque;46.72652;2.50777
I181970016;CITY STADE DIDIER GERBAUD;Rue Hugues Lapaire;18200;Saint-Amand-Montrond;Multisports/City-stades;46.73619;2.50525
