reference_de_la_notice;region;commune;adresse_forme_editoriale;coordonnees;titre_courant;departement_en_lettres
ACR0000673;Île-de-France;Courbevoie;14 rue Killford;"48.9003174059649, 2.25169009843221";Église luthérienne;Hauts-de-Seine
ACR0000677;Île-de-France;Meudon;Carrefour de l’Etoile-du-Pavé-de-Meudon;"48.8026938110539, 2.20438635473558";Tour hertzienne;Hauts-de-Seine
ACR0000681;Île-de-France;Nanterre;2 allée de l'Université;"48.9054139481994, 2.21568490871224";"Bibliothèque de l'université de Nanterre, actuelle Université Paris-Ouest-Nanterre-La Défense";Hauts-de-Seine
ACR0000685;Île-de-France;Rueil-Malmaison;50 rue Otis-Mygatt;"48.85839183048441, 2.17766388172412";Chapelle du collège La Salle Passy Buzenval;Hauts-de-Seine
ACR0000693;Île-de-France;Paris 11e Arrondissement;84-86 rue de la Roquette;"48.8562372328207, 2.37620961055975";Synagogue Don Isaac Abravanel;Paris
ACR0000700;Île-de-France;Paris 13e Arrondissement;"""5 rue Thomas-Mann / 55-65 Quai Panhard-et-Levassor""";"48.827876686783, 2.38214182061819";"Ancienne Halle aux farines, actuel centre universitaire Paris VII-Denis-Diderot";Paris
ACR0000701;Île-de-France;Paris 13e Arrondissement;11-55 quai François Mauriac;"48.8337748593517, 2.3757766272659";Bibliothèque nationale de France (site Tolbiac-François Mitterand);Paris
ACR0000702;Île-de-France;Paris 13e Arrondissement;8 rue Abel-Gance;"48.835859651416904, 2.37348939843033";Église Notre-Dame-de-la-Sagesse;Paris
ACR0000703;Île-de-France;Paris 13e Arrondissement;82 boulevard de l'Hôpital;"48.8375157514592, 2.35944009843037";Église Saint-Marcel;Paris
ACR0000711;Île-de-France;Paris 16e Arrondissement;"""5-7 place du Maréchal-de-Lattre-de- Tassigny / 2-8 avenue de Pologne / 1-25 avenue du Maréchal-Fayolle / 2-14 boulevard Lannes""";"48.8702406783579, 2.27366261377385";"Ancien secrétariat général de l'OTAN, actuel centre universitaire Dauphine";Paris
ACR0000722;Île-de-France;Paris 6e Arrondissement;54 boulevard Raspail / 34-38 rue du Cherche-Midi;"48.8503487165641, 2.326989586787";Maison des Sciences de l'Homme;Paris
ACR0000723;Île-de-France;Paris 7e Arrondissement;6 rue Albert-de-Lapparent;"48.8486605719089, 2.30838276730547";chapelle Notre-Dame-du-Bon-Conseil;Paris
ACR0000732;Île-de-France;Lagny-sur-Marne;4 avenue de la République;"48.8776980342144, 2.70092934495929";temple;Seine-et-Marne
ACR0000738;Île-de-France;Bagnolet;rue Victor-Hugo / rue Edouard-Vaillant / rue Lieutenant-Thomas / rue Jules-Ferry;"48.857428008644, 2.41597010563213";Grand ensemble Édouard-Vaillant;Seine-Saint-Denis
ACR0000758;Île-de-France;Saint-Denis;12 rue des Chaumettes;"48.9380222672146, 2.35262908494022";Église évangélique Martin-Luther;Seine-Saint-Denis
ACR0000759;Île-de-France;Villepinte;avenue de Lattre-de-Tassigny / route du Tremblay;"48.963681, 2.544655";Les Mousseaux;Seine-Saint-Denis
ACR0000762;Île-de-France;Créteil;75-81 rue Chéret;"48.802377, 2.453747";Cité des Bleuets;Val-de-Marne
ACR0000764;Île-de-France;Créteil;"""rue Pasteur-Valllery-Radot / 2-20 rue Marcel-Proust""";"48.7858143139355, 2.4423755561001";Palais de justice;Val-de-Marne
ACR0000771;Île-de-France;Perreux-sur-Marne (Le);165 avenue Général-de-Gaulle;"48.8454502782577, 2.5008453384737";Synagogue dit Centre communautaire Hekhal-David;Val-de-Marne
ACR0000772;Île-de-France;Haÿ-les-Roses (L');19 rue Marc-Sangnier;"48.766298039969, 2.3241311119214";Église Saint-Paul;Val-de-Marne
ACR0000776;Île-de-France;Villejuif;"""Les Hautes-Bruyères / 13 avenue du Président-Allende""";"48.7955236518118, 2.35291312296678";Réservoirs dits Les Flûtes (ensemble de châteaux d'eau);Val-de-Marne
ACR0000783;Île-de-France;Mesnil-Saint-Denis  (Le);7 rue des Bruyères;"48.7395408321853, 1.9364451603647301";Skit du Saint Esprit;Yvelines
ACR0000791;Île-de-France;Viroflay;28 rue Rieussec;"48.80267457814, 2.16997149842935";Église Notre-Dame-du-Chêne;Yvelines
ACR0000795;Martinique;Ducos;8 place Asselin-de-Beauville;"14.575831, -60.976071";"Immeuble Edouard-Edouarzi, actuellement commissariat de police";
ACR0000810;Martinique;Fort-de-France;place François-Mitterrand  rue Bouillé;"14.6249734918689, -61.0802253439195";"Imprimerie officielle, actuellement siège du journal France-Antilles";
ACR0000834;Normandie;Bernay;place Sylla-Lefèvre;"49.091939, 0.603822";Cité-jardin des Abattoirs;Eure
ACR0000835;Normandie;Bernay;83 rue Thiers;"49.0914463441833, 0.598351569602287";Maison dite maison paquebot;Eure
ACR0000838;Normandie;Evreux;rue du Panorama;"49.032087, 1.145414";Église paroissiale Saint-Michel;Eure
ACR0000845;Normandie;Saint-Etienne-l'Allier;;"49.26754300211428, 0.5564907271222331";Monument aux morts commémoratif de la Résistance;Eure
ACR0000862;Normandie;Raids;le Haut Manoir;"49.218088537083105, -1.3453693727227";Église Saint-Georges;Manche
ACR0000868;Normandie;Alençon;avenue Jean-Mantelet;"48.4165587556081, 0.103036561274638";immeuble Moulinex;Orne
ACR0000869;Normandie;Argentan;rue Jeanne-d'Arc;"48.7478577123758, -0.0098577760841546";Église Saint-Michel;Orne
ACR0000871;Normandie;Bagnoles de l'Orne Normandie;6 boulevard Albert-Christophle;"48.555826010963465, -0.4139196156824953";Église du Sacré-Cœur;Orne
ACR0000888;Normandie;Cléon;Lieu-dit l’Homme mort;"49.3159123847391, 1.0484930242637502";Usine de construction automobile de la régie nationale des usines Renault;Seine-Maritime
ACR0000897;Normandie;Gonfreville-L'Orcher;rue du 8 mai 1945 / avenue Jean Eberhard;"49.509481, 0.22809499999999996";Camp Philipp-Morris;Seine-Maritime
ACR0000902;Normandie;Bouille (La);1 rue de la République;"49.351271682032, 0.9314468272812629";mairie-groupe scolaire;Seine-Maritime
ACR0000908;Normandie;Havre (Le);39 boulevard de l’Amiral Mouchez;"49.4848064091022, 0.132748039032617";Etablissement de bienfaisance dit Maison du Marin;Seine-Maritime
ACR0000909;Normandie;Havre (Le);cours de la République;"49.49285613836, 0.124807913792398";Gare ferroviaire;Seine-Maritime
ACR0000917;Normandie;Havre (Le);Vétillart (bassin) / Garonne (quai) de la;"49.483069394045, 0.150178282148132";Hangar 81 dit hangar aux cotons;Seine-Maritime
ACR0000927;Normandie;Rouen;11 bis rue Dieutre;"49.4457103079744, 1.11100088113299";Maison;Seine-Maritime
ACR0000935;Normandie;Rouen;55 rue des Bons-Enfants;"49.4444938578161, 1.0891043742339";Synagogue;Seine-Maritime
ACR0000954;Nouvelle-Aquitaine;Brive-la-Gaillarde;square de la Légion-d'Honneur / square Fred-Scamaroni / square Germain-Auboiroux / square Charles-Boudy / place De-Lattre-de-Tassigny / place Winston-Churchill / avenue Général-Leclerc / avenue Poincaré;"45.165983, 1.520393";Quartier et esplanade Thiers (quartier de la Poste);Corrèze
ACR0000957;Nouvelle-Aquitaine;Egletons;19 avenue des Papes Limousins;"45.40565752358201, 2.05727001682478";"Ecole nationale professionnelle, aujourd'hui lycée Pierre-Caraminot";Corrèze
ACR0000958;Nouvelle-Aquitaine;Egletons;place Henri-Chapoulie;"45.40595, 2.046808";place Henri Chapoulie;Corrèze
ACR0000960;Nouvelle-Aquitaine;Soursac;;"45.27578, 2.200581";Barrage de l'Aigle;Corrèze
ACR0000963;Nouvelle-Aquitaine;Aubusson;50 Grande rue;"45.9554802227032, 2.16587376030324";Hôtel de Ville;Creuse
ACR0000983;Nouvelle-Aquitaine;Beaumontois en Périgord;;"44.772181, 0.767376";Maison Verdier;Dordogne
ACR0000985;Nouvelle-Aquitaine;Champcevinel;20 rue du Majoral-Fournier;"45.216679, 0.728972";Maison Delanghe;Dordogne
ACR0000989;Nouvelle-Aquitaine;Salagnac;cité Clairvivre;"45.3204256008787, 1.22579140673296";Cité de Clairvivre;Dordogne
ACR0000995;Nouvelle-Aquitaine;Arcachon;2 avenue Saint-François-Xavier;"44.639532, -1.198834";Villa Kypris;Gironde
ACR0001003;Nouvelle-Aquitaine;Bordeaux;"La Bastide, 10 rue Raymond Poincaré";"44.844909449994475, -0.5445179238545915";Groupe scolaire de la Benauge;Gironde
ACR0001013;Nouvelle-Aquitaine;Gradignan;25 cours du Général-de-Gaulle;"44.771664, -0.614876";Chapelle de l’institut national des Jeunes sourds;Gironde
ACR0001015;Nouvelle-Aquitaine;Latresne;"""10 chemin Sonney Lieu-dit Fauquier""";"44.795943, -0.480811";Maison Jacques Salier;Gironde
ACR0001023;Nouvelle-Aquitaine;Mérignac;avenue John-Fitzgerald-Kennedy / angle rue Henri-Vigneaux;"44.833138, -0.663766";"Usine de produits pharmaceutiques, laboratoire Sarget";Gironde
ACR0001027;Nouvelle-Aquitaine;Sainte-Hélène;5 route de Castelnau;"44.965539, -0.884006";maison de M. Naturel : Villa Quand-même et Mépris;Gironde
ACR0001028;Nouvelle-Aquitaine;Talence;167 avenue de la Vieille Tour / 36 rue du Haut Carré;"44.81131099247392, -0.5972810148712892";Hameau de Noailles;Gironde
ACR0001034;Nouvelle-Aquitaine;Limoges;16 avenue Jean-Gagnant;;École professionnelle Féret du Longbois;Haute-Vienne
ACR0001038;Nouvelle-Aquitaine;Limoges;19 avenue Martin-Luther-King;;École nationale supérieure d'arts décoratifs;Haute-Vienne
ACR0001064;Nouvelle-Aquitaine;Anglet;avenue Amédée-Dufourg;"43.481875, -1.515209";Mairie;Pyrénées-Atlantiques
ACR0001070;Nouvelle-Aquitaine;Bayonne;Quai de Lesseps;"43.496294, -1.473806";Bâtiment des Douanes et des Ponts et Chaussées;Pyrénées-Atlantiques
ACR0001076;Nouvelle-Aquitaine;Pau;227 avenue Alfred-Nobel;"43.3209845994757, -0.303848130561467";Ateliers Courrèges;Pyrénées-Atlantiques
ACR0001082;Occitanie;Niaux;R.D.56 / route de la Grotte;"42.812988, 1.59087";Entrée de la grotte;Ariège
ACR0001084;Occitanie;Fleury;rue Jean-Jaurès;"43.231435, 3.128329";cave coopérative vinicole;Aude
ACR0001091;Occitanie;Millau;Creissels;;"44.096493, 3.05992";Viaduc autoroutier;Aveyron
ACR0001094;Occitanie;Aigues-Vives;695 route de la Gare;"43.7339641665755, 4.1845106256491";cave coopérative vinicole;Gard
ACR0001095;Occitanie;Alès;11 rue Michelet;"44.124671, 4.082161";"ancien Crédit agricole, actuellement Mairie PRIM'";Gard
ACR0001099;Occitanie;Bagnols-sur-Cèze;avenue de la Mayre / avenue Marc-Sanier;"44.157692, 4.623632";Grand ensemble Les Escanaux;Gard
ACR0001106;Occitanie;Castillon-du-Gard;Chemin du Moulin à Vent;"43.820792, 4.432036";lotissement La Garrigue;Gard
ACR0001109;Occitanie;Le Grau-du-Roi;Port Camargue;"43.531273, 4.144184";"Port Camargue : la capitainerie, ensemble urbain du quai d’honneur (résidences le Suffren, le Grand Pavois, les jardins du Port, le Grand Galion), la marina Les Camarguaises Sud";Gard
ACR0001111;Occitanie;Milhaud;Moulin à vent (rue) 3;"43.793978, 4.30852";Villa Costabel;Gard
ACR0001117;Occitanie;Nîmes;4 rue Scatisse;"43.832303, 4.364461";"Immeuble de la SADA, compagnie d’assurances";Gard
ACR0001120;Occitanie;Redessan;;;"Réservoir d’eau de BRL, dit de Sallèles";Gard
ACR0001123;Occitanie;Saint-Christol-les-Alès;542 avenue Campello;"44.0818474114339, 4.07056969522588";cave coopérative vinicole;Gard
ACR0001124;Occitanie;Saint-Dionisy;1 rue du Mas;"43.8053011963163, 4.23107409681672";Ecole prototype à une classe;Gard
ACR0001129;Occitanie;Villeneuve-Lès-Avignon;5 boulevard Gambetta;"43.545899, 4.125823";résidence Les terrasses sous les Pins;Gard
ACR0001130;Occitanie;Boulogne-sur-Gesse;Midi (boulevard du) Ecoles (rue des);"43.290383, 0.646834";École de garçons;Haute-Garonne
ACR0001139;Occitanie;Toulouse;11 allée du Professeur Camille- Soula;"43.58214400000001, 1.435474";Cité universitaire Daniel Faucher;Haute-Garonne
ACR0001150;Occitanie;Toulouse;rue Yves-Dumanoir;"43.597442, 1.398498";Villa Bachelot;Haute-Garonne
ACR0001153;Occitanie;Aragnouet;;"42.8263037202889, 0.129577813377744";Barrage de Cap-de-Long;Hautes-Pyrénées
ACR0001160;Occitanie;Tarbes;18 boulevard Henri IV;"43.2329601144115, 0.0627865967898467";Immeuble Le Navarre;Hautes-Pyrénées
ACR0001167;Occitanie;La Grande-Motte;;"43.565248, 4.093953";Station balnéaire de la Mission Racine de La Grande Motte;Hérault
ACR0001181;Occitanie;Montpellier;53 rue du Faubourg-Saint-Jaumes;"43.614868, 3.869836";Résidence Le Saint-Jaumes;Hérault
ACR0001183;Occitanie;Saint-Mathieu-de-Tréviers;751 route de Cécélès;"43.762255, 3.882394";Couvent des Dominicaines des Tourelles;Hérault
ACR0001184;Occitanie;Sète;rue François-Desnoyer;"43.39626917481481, 3.69067616931473";Musée Paul-Valéry;Hérault
ACR0001191;Occitanie;Le Barcarès;;"42.7941768842348, 3.03810822784704";Station balnéaire de la mission Racine de Port Barcarès : VVF Portes du Roussillon / le Lydia / le musée des sables (allée des arts) / immeuble Estany / immeuble Miramars;Pyrénées-Orientales
ACR0001195;Occitanie;Perpignan;2 rue Jean-Richepin;"42.705749028366, 2.89180762560111";immeuble de la DDE;Pyrénées-Orientales
ACR0001196;Occitanie;Perpignan;14 rue du Jardin d’enfants;"42.7014340865723, 2.9039841544366505";Maison;Pyrénées-Orientales
ACR0001198;Occitanie;Perpignan;1 rue Antoine-de-Condorcet  rue Pascal-Marie-Agasse;"42.6958558038079, 2.87619939914175";Maison Maury;Pyrénées-Orientales
ACR0001201;Occitanie;Perpignan;quartier Saint-Mathieu / rue des Rois-de-Majorque / rue des Remparts-Saint-Mathieu / rue des Remparts-La-Réal / avenue des Baléares / avenue Gilbert-Brutus / boulevard Félix-Mercader / boulevard Henri-Poincaré / boulevard Aristide-Briand / rue du Stadium / rue des Jotglars / rue du Docteur-Alfred-Rives / rue Georges-Rives / rue Georges-Bondurand / rue des Lices / rue du Vélodrome;;quartier des Remparts sud;Pyrénées-Orientales
ACR0001218;Pays de la Loire;Nantes;Boulevard Pierre-de-Coubertin / quartier Breil-Malville;"47.2287603403915, -1.5864321201980403";"Église Saint-Luc, dite « Maison du peuple chrétien »";Loire-Atlantique
ACR0001220;Pays de la Loire;Nantes;place des Petits-murs 50 cours des otages;"47.2185939452021, -1.55711345705506";Hôtel La Pérouse;Loire-Atlantique
ACR0001222;Pays de la Loire;Nantes;route de Saint-Joseph de Porterie;;Lotissement du Grand-Clos;Loire-Atlantique
ACR0001233;Pays de la Loire;Saint-Nazaire;place de l'Hôtel-de-ville;"47.273624635700905, -2.21350949406911";Aménagement de la place de l'hôtel de ville et ensemble de constructions;Loire-Atlantique
ACR0001244;Pays de la Loire;Laval;5 rue Ernest-Laurain;"48.0724146907845, -0.757981603572312";Archives départementales;Mayenne
ACR0001249;Pays de la Loire;Mans (Le);33 rue des Minimes;"48.0019451178883, 0.19768603475541402";"Zara, anciennement Les Dames de France";Sarthe
ACR0001260;Provence-Alpes-Côte d'Azur;Riez;quartier Sainte-Anne;;Silo;Alpes-de-Haute-Provence
ACR0001267;Provence-Alpes-Côte d'Azur;Cannes;promenade de la Pantiero / jetée Albert-Édouard;"43.551577, 7.014012";Gare maritime;Alpes-Maritimes
ACR0001268;Provence-Alpes-Côte d'Azur;Cannes;place Forville;"43.55222, 7.012237";halle dite marché Forville;Alpes-Maritimes
ACR0001273;Provence-Alpes-Côte d'Azur;Cap-d'Ail;chemin des Oliviers;"43.724758, 7.39892";Théâtre de plein air Jean-Cocteau;Alpes-Maritimes
ACR0001276;Provence-Alpes-Côte d'Azur;Chateauneuf-de-Grasse;;"43.664367, 6.970067000000001";Tombeau de la famille Riou Aune;Alpes-Maritimes
ACR0001278;Provence-Alpes-Côte d'Azur;Grasse;5 avenue Francis-de-Crosset;"43.669022, 6.940443";Villa Norah;Alpes-Maritimes
ACR0001284;Provence-Alpes-Côte d'Azur;Nice;53 promenade des Anglais / 1 rue Andrioli;"43.69353100000001, 7.254534";Palais Mary;Alpes-Maritimes
ACR0001286;Provence-Alpes-Côte d'Azur;Nice;promenade des Anglais  boulevard Gambetta  rue Saint-Philippe;"43.683978, 7.234566";"""Résidence ""Le Forum » anciennement « Palais de la promenade »""";Alpes-Maritimes
ACR0001288;Provence-Alpes-Côte d'Azur;Nice;2 boulevard Tzaréwitch  77 bis boulevard Gambetta  impasse Palladium;"43.702751, 7.255454";Résidence Le Palladium;Alpes-Maritimes
ACR0001290;Provence-Alpes-Côte d'Azur;Nice;82 boulevard René-Cassin;"43.669759, 7.220156000000001";Résidence Les Mimosas;Alpes-Maritimes
ACR0001297;Provence-Alpes-Côte d'Azur;Saint-Jean-Cap-Ferrat;2 chemin Saint-Hospice;"43.68571, 7.342477";résidence Saint-Hospice;Alpes-Maritimes
ACR0001302;Provence-Alpes-Côte d'Azur;Théoule;boulevard de l'Esterel;"44.085205, 7.5924450000000006";Palais Bulles;Alpes-Maritimes
ACR0001305;Provence-Alpes-Côte d'Azur;Vallauris;83 avenue des Frères Roustan;"43.566902, 7.078378000000001";le Grand Palais;Alpes-Maritimes
ACR0001306;Provence-Alpes-Côte d'Azur;Vence;11 route de Saint-Paul;"43.718068, 7.119209";clinique Les Cadrans solaires (centre de broncho-pneumologie);Alpes-Maritimes
ACR0001310;Provence-Alpes-Côte d'Azur;Villeneuve-Loubet;2750 bis avenue du Logis-de-Bonneau;"43.626695, 7.1276";Villa Barberis;Alpes-Maritimes
ACR0001316;Provence-Alpes-Côte d'Azur;Aix-en-Provence;Pont de l'Arc chemin de la Guiramande;"43.48622, 5.412292";Gymnase du Creps;Bouches-du-Rhône
ACR0001318;Provence-Alpes-Côte d'Azur;Aix-en-Provence;4 avenue des Belges;"43.525197, 5.444648";Palais Albert 1er;Bouches-du-Rhône
ACR0001330;Provence-Alpes-Côte d'Azur;Fos-sur-mer;route d'Arles;"43.45777, 4.924435";"La Fenouillère, direction technique de la SPSE";Bouches-du-Rhône
ACR0001331;Provence-Alpes-Côte d'Azur;Fos-sur-mer;;"43.437632, 4.945017";"Tétrodon, habitat mobile";Bouches-du-Rhône
ACR0001350;Provence-Alpes-Côte d'Azur;Marseille 14e Arrondissement;traverse des Rosiers;"43.321636, 5.388728";Résidence Les Rosiers;Bouches-du-Rhône
ACR0001351;Provence-Alpes-Côte d'Azur;Marseille 15e Arrondissement;118 chemin de Mimet;"43.381563, 5.35843";Centre hospitalier Édouard Toulouse;Bouches-du-Rhône
ACR0001352;Provence-Alpes-Côte d'Azur;Marseille 15e Arrondissement;;"43.351478, 5.35759";Cité Saint-Louis;Bouches-du-Rhône
ACR0001353;Provence-Alpes-Côte d'Azur;Marseille 15e Arrondissement;193 boulevard Simon Bolivar;"43.34181, 5.377541";La Maurelette;Bouches-du-Rhône
ACR0001355;Provence-Alpes-Côte d'Azur;Marseille 16e Arrondissement;64 rue Condorcet;"43.357388, 5.341545";École élémentaire St-André-Condorcet;Bouches-du-Rhône
ACR0001357;Provence-Alpes-Côte d'Azur;Marseille 1er Arrondissement;73 avenue de la Canebière;"43.298906, 5.382914";Building Canebière;Bouches-du-Rhône
ACR0001358;Provence-Alpes-Côte d'Azur;Marseille 1er Arrondissement;Cours Belsunce / square Bir-Hakeim;"43.297966, 5.377012";Immeubles de la Bourse - Les Labourdette;Bouches-du-Rhône
ACR0001363;Provence-Alpes-Côte d'Azur;Marseille 2e Arrondissement;square Protis;"43.296849, 5.363965";La Tourette - groupe VIII;Bouches-du-Rhône
ACR0001364;Provence-Alpes-Côte d'Azur;Marseille 3e Arrondissement;3 place Victor Hugo;"43.304325, 5.37821";Bibliothèque universitaire Saint-Charles;Bouches-du-Rhône
ACR0001370;Provence-Alpes-Côte d'Azur;Marseille 6e Arrondissement;rue Émile Pollak;"43.291057, 5.374446";Annexe du Palais de Justice - Pavillon Montyon;Bouches-du-Rhône
ACR0001379;Provence-Alpes-Côte d'Azur;Marseille 8e Arrondissement;Le Rouet / 62 avenue Jules-Cantini / 10-18 rue Gaz-du-Midi;"43.279386, 5.391371";immeuble Cantini;Bouches-du-Rhône
ACR0001384;Provence-Alpes-Côte d'Azur;Marseille 9e;36 boulevard du Redon;"43.255625, 5.419908";Centre paroissial du Cabot Rouvière;Bouches-du-Rhône
ACR0001398;Provence-Alpes-Côte d'Azur;Tarascon;avenue de Pottentuy  rue Alphonse-Daudet;"43.808326, 4.660593";Ecole Jules-Ferry;Bouches-du-Rhône
ACR0001402;Provence-Alpes-Côte d'Azur;Trets;Quartier Les Seignières;"43.813331, 6.097302";Silo;Bouches-du-Rhône
ACR0001403;Provence-Alpes-Côte d'Azur;Vitrolles;5 chemin des Gorges de Cabriès;"43.431385, 5.279153";Bureaux de la Setec International;Bouches-du-Rhône
ACR0001411;Provence-Alpes-Côte d'Azur;Cervières;;"44.865845, 6.789188";Ouvrage Maginot des Aittes;Hautes-Alpes
ACR0001413;Provence-Alpes-Côte d'Azur;Dévoluy (Le);Station Superdévoluy;"44.680681, 5.9449190000000005";station de ski de Superdévoluy : résidences Le Bois d’Aurouze et Les Issarts;Hautes-Alpes
ACR0001421;Provence-Alpes-Côte d'Azur;Saint-Bonnet-en-Champsaur;8 avenue des Lagerons;"44.678267, 6.079699";Chalet;Hautes-Alpes
ACR0001425;Provence-Alpes-Côte d'Azur;Savines-le-Lac;;"44.518038, 6.374022";Village de Savines-le-Lac;Hautes-Alpes
ACR0001427;Provence-Alpes-Côte d'Azur;Aiguines;Lieu-dit La Mescla / 71 route départementale;"43.730162691314, 6.38737972712087";Pont de l'Artuby;Var
ACR0001428;Provence-Alpes-Côte d'Azur;Bandol;1390 boulevard des Graviers;"43.1363012914095, 5.73012428292667";Domaine des Engraviers: résidences Athéna et Athena Port;Var
ACR0001433;Provence-Alpes-Côte d'Azur;Fréjus;rue Henri-Vadon;"43.4337549363014, 6.730735996372091";Coopérative vinicole dite cave coopérative La Fréjussienne;Var
ACR0001443;Provence-Alpes-Côte d'Azur;Lavandou (Le);4 avenue des Dryades;;maison dite villa Les Alizés;Var
ACR0001445;Provence-Alpes-Côte d'Azur;Ollioules;795 chemin de Châteauvallon;;Centre artistique et culturel de Châteauvallon;Var
ACR0001449;Provence-Alpes-Côte d'Azur;Roquebrune sur Argens;Le Val d'Esquières;;Ancien dancing La Batterie;Var
ACR0001456;Provence-Alpes-Côte d'Azur;Toulon;182 Rue Francis Garnier;;Chapelle de la Transfiguration;Var
ACR0001462;Provence-Alpes-Côte d'Azur;Avignon;rue Ninon-Vallin;;immeuble dit résidence San Miguel;Vaucluse
ACR0001467;Provence-Alpes-Côte d'Azur;Grillon;;;Le Vialle;Vaucluse
ACR0001468;Provence-Alpes-Côte d'Azur;Thor (Le);route de Cavaillon;;coopérative vinicole;Vaucluse
ACR0001477;Centre-Val de Loire;Châtillon-sur-Loire;Route départementale 50;;Pont suspendu sur la Loire;Loiret
ACR0001478;Centre-Val de Loire;Meung-sur-Loire;18 Route départementale;;Pont suspendu sur la Loire;Loiret
ACR0001539;Île-de-France;Paris 10e Arrondissement;rue La Fayette;"48.8804995320062, 2.36076129357161";Pont La Fayette;Paris
ACR0001542;Île-de-France;Paris 15e Arrondissement;2 rue de la Montagne-de-la-Fage;"48.84009722856601, 2.27820585610171";Parc André Citroën;Paris
ACR0001543;Île-de-France;Paris 15e Arrondissement;22-32 boulevard Victor 2-14 rue de la Porte d’Issy;"48.8354109674539, 2.27996517693796";Ministère de l’air et école nationale supérieure de l’aéronautique (ancienne cité de l’air);Paris
ACR0001558;Nouvelle-Aquitaine;Biscarosse;Avenue Voltaire;;Piscine Tournesol;Landes
ACR0001557;Nouvelle-Aquitaine;Rochechouart;rue de l'Hôtel-Dieu;;Bains douches;Haute-Vienne
ACR0001576;Pays de la Loire;Mans (Le);;;Église Sainte-Thérèse;Sarthe
ACR0001578;Pays de la Loire;Mans (Le);;;Église Saint-Liboire;Sarthe
ACR0001580;Pays de la Loire;Mans (Le);;;Église Saint-Bernard-des-Sablons;Sarthe
ACR0001583;Provence-Alpes-Côte d'Azur;Cogolin;;;Marines : résidence La Brigantine et résidence La Galiote;Var
ACR0001590;Île-de-France;Évry-Courcouronnes;cour Monseigneur Romero / boulevard des Coquibus;"48.6241456851811, 2.42827587170875";Ensemble du centre-ville : place des Droits de l'Homme et du Citoyen;Essonne
ACR0001594;Île-de-France;Évry-Courcouronnes;3 rue de Montespan;"48.6345240454739, 2.4388220420061";École Jacques Cartier;Essonne
ACR0001606;Île-de-France;Noisiel;1 avenue Pierre Mendès France;"48.8409829585349, 2.6164546272661";Lycée René Cassin;Seine-et-Marne
ACR0001608;Île-de-France;Guyancourt;2 rue Eugène Viollet-le-Duc;"48.7647485462501, 2.06769321377075";Lycée de Villaroy;Yvelines
ACR0001610;Île-de-France;Maurepas;13 rue de la Beauce;"48.7672287692687, 1.94461485609954";"""Lycée Les Sept-Mares """;Yvelines
ACR0001611;Île-de-France;Poissy;88 rue de Villiers;"48.9234003180077, 2.0268392695973";Lycée Le Corbusier;Yvelines
ACR0001612;Île-de-France;Rambouillet;5 avenue du Général Leclerc;"48.6412365657158, 1.8250865560958103";Lycée Louis Bascan;Yvelines
ACR0001625;Île-de-France;Cergy;1 rue Michel Strogoff;"49.0529699114552, 2.01104681192988";Lycée Jules Verne;Val-d'Oise
ACR0001631;Île-de-France;Paris 14e Arrondissement;5 bis avenue Maurice d'Ocagne;"48.824780284104506, 2.31299418308747";Lycée Raspail;Paris
ACR0001637;Île-de-France;Paris 19e Arrondissement;27 rue Edouard Pailleron;"48.8813682563846, 2.37775348493853";Lycée Bergson et son gymnase;Paris
ACR0000976;Nouvelle-Aquitaine;Melle;1 place de la Poste;"46.2217415563232, -0.142528316081783";Poste;Deux-Sèvres
ACR0001646;Nouvelle-Aquitaine;Mérignac;14 rue François Villon;;maison de Pierre Lajus;Gironde
ACR0001655;La Réunion;Port (Le);allée Marie-Curie / allée Jacques-Monod / allée Sylvia­Laugier / rue Paul-Eluard / rue Alice-Peverelly;;Cité de la ZUP II;La Réunion
ACR0001657;Île-de-France;Paris 13e arrondissement;4 square Masséna;"48.8230906832879, 2.37297292634088";Atelier d'architecture Masséna;Paris
ACR0001658;Île-de-France;Paris 15e arrondissement;32 bis - 34 boulevard de Vaugirard;"48.841546818395, 2.31726101377299";Musée de La Poste : façade sud;Paris
ACR0001668;Île-de-France;Évry-Courcouronnes;boulevard de France / rue et place René Cassin / rue des Mazières;;"Ensemble Préfecture, Conseil Général, Cité administrative, Palais de Justice";Essonne
ACR0001671;Île-de-France;Saint-Denis;Zac Cornillon;"48.9246495132468, 2.36017522726859";Stade de France;Seine-Saint-Denis
ACR0001672;Nouvelle-Aquitaine;Trélissac;1 rue des Jacinthes;;Maison de l'architecte Jacques Bret et son agence d'architecture;Dordogne
ACR0001675;La Réunion;Saint-Paul;29 chemin de L'Evêque;"-21.08538090297014, 55.272046753632935";Ancien centre de formation de l'ARFUTS (Association Réunionnaise pour la Formation et l’Utilisation des Travailleurs Sociaux );
ACR0001679;Provence-Alpes-Côte d'Azur;Avignon;2 rue Marie-Madeleine;;Maison pour tous Champfleury;Vaucluse
ACR0001694;Guadeloupe;Basse-Terre;rue Denis-Michaux;"16.000829920422785, -61.7358812895536";Chapelle Sainte-Thérèse;
ACR0001695;Bourgogne-Franche-Comté;Dijon;allée de Ribauvillé;"47.32353797713955, 5.00096989823334";Piscine de la Fontaine d'Ouche;Côte-d'Or
