reference_de_la_notice;region;commune;adresse_forme_editoriale;coordonnees;titre_courant;departement_en_lettres
ACR0001762;Occitanie;Lavelanet;4 rue du Quatre Septembre;"42.933048949321446, 1.8512763798133218";Ecole primaire Georges-Sand;Ariège
ACR0001766;Occitanie;Toulouse;32 rue Sainte-Lucie;"43.59351162687102, 1.431527892514697";Groupe scolaire Molière;Haute-Garonne
ACR0001767;Occitanie;Toulouse;40 rue Matabiau;"43.61139042787591, 1.4476803795910516";Groupe scolaire Matabiau;Haute-Garonne
ACR0001769;Occitanie;Toulouse;60 avenue de Frizac;"43.58883313974683, 1.451654246387937";Groupe scolaire Jean Jaurès;Haute-Garonne
ACR0001776;Occitanie;Figeac;12 avenue Fernand-Pezet;"44.608946718285125, 2.0299699425816975";Ecole primaire Paul-Bert;Lot
ACR0001781;Occitanie;Cordes-sur-Ciel;11 rue des Tanneries;"44.06815237141721, 1.9448911543522085";Ecole primaire du Pays cordais;Tarn
ACR0001788;Auvergne-Rhône-Alpes;Vaulx-en-Velin;3 rue Maurice Audin;"45.779979464563205, 4.923641643422621";École nationale supérieure d'architecture de Lyon;Rhône
ACR0001790;Bourgogne-Franche-Comté;Plombières-lès-Dijon;rue du Château d’eau;"47.33874563644875, 4.970785426348666";Salle Eugène Vadot;Côte-d'Or
ACR0001794;Grand Est;Commercy;rue du Docteur-Boyer;"48.763525159838025, 5.596040848228827";Vélodrome;Meuse
ACR0001808;Hauts-de-France;Bailleul;rue Natalis-Dumez;"50.74126271893681, 2.7359735696716703";salle Mille-Club;Nord
ACR0001810;Hauts-de-France;Faches-Thumesnil;rue du Général-Hoche;"50.606613887004436, 3.0648616254866576";Salle-Jacques-Brel;Nord
ACR0001814;Hauts-de-France;Watten;place du Capitaine-Leveaux;"50.83389349224736, 2.2099313255018886";salle Mille-club;Nord
ACR0001817;Bourgogne-Franche-Comté;Audincourt;5 rue René-Girardot;"47.48409003071987, 6.848356981106761";Complexe OmniSports Evolutif Couvert (COSEC) Jean-Michel Curie;Doubs
ACR0001740;Bourgogne-Franche-Comté;Besançon;1 place de la Révolution;"47.24034198457525, 6.023208896432075";Musée des Beaux-Arts;Doubs
ACR0001742;Grand Est;"""Villars-Santenoge """;Lieu-dit les Tanières / route de Santenoge;;maison « Le Carré Rouge »;Haute-Marne
ACR0001838;Bourgogne-Franche-Comté;Passavant-la-Rochère;rue de la Verrerie;"47.989040323392274, 6.060218069401817";Salle d'exposition;Haute-Saône
ACR0001852;Centre-Val de Loire;Joué-les-Tours;45-49 rue des Martyrs / place Miles Davis;"47.35236940251801, 0.6646851203049212";Salle de spectacle Le Temps Machine;Indre-et-Loire
ACR0001853;Centre-Val de Loire;Tours;29 rue Walvein / 43-53 rue de l’Hospitalité;"47.391350158399355, 0.6699135009504249";Résidence Lamartine;Indre-et-Loire
ACR0001856;Bourgogne-Franche-Comté;Besançon;16 route de Gray;"47.245387372471626, 5.985041795292989";Campus universitaire de la Bouloie : bâtiment Fourier;Doubs
ACR0001858;Bourgogne-Franche-Comté;Belfort;43 faubourg des Ancêtres;"47.245387372471626, 5.985041795292989";Bibliothèque universitaire Lucien Febvre;Territoire de Belfort
ACR0000001;Auvergne-Rhône-Alpes;Ars-sur-Formans;31 rue Docteur-Nodet;"45.991841183725, 4.82349631603925";"Église Notre-Dame-de-la-Miséricorde, église souterraine";Ain
ACR0000011;Auvergne-Rhône-Alpes;Voulte-sur-Rhône (La);;"44.796071, 4.793129";"viaduc de chemin de fer, dit viaduc de La Voulte";Ardèche
